timestamp,symbol,mark_price,index_price,mark_premium_pct,funding_rate_pct,open_interest,trend_1m,trend_5m,trend_15m,orderbook_snapshot_imbalance,context_quality,context_confirm,warnings_json
2026-07-04T20:25:41.847235+00:00,DOTUSDT,0.887,0.88776298,-0.08594411089319907,0.01,31459344.8,up,up,down,0.10001312111397943,OK,INSUFFICIENT,[]
2026-07-04T20:25:43.334907+00:00,NEARUSDT,1.98732171,1.9881027,-0.03928318190000856,-0.002444,42476469.0,flat,flat,down,0.15101610533817542,OK,INSUFFICIENT,[]
2026-07-04T20:25:44.068276+00:00,UNIUSDT,3.22819176,3.22987585,-0.05214101340767993,0.01,18553626.0,down,down,down,0.06124138500123594,OK,INSUFFICIENT,[]
2026-07-04T20:25:45.465782+00:00,AAVEUSDT,89.26,89.30165944,-0.04665024173260699,0.003974999999999999,613167.0,flat,flat,down,-0.005699324757934468,OK,INSUFFICIENT,[]
2026-07-04T20:25:46.425046+00:00,WLDUSDT,0.4271,0.42736983,-0.0631373534252585,0.00025299999999999997,177326025.0,flat,flat,down,-0.03814425640865839,OK,INSUFFICIENT,[]
2026-07-04T20:25:47.801562+00:00,ZECUSDT,466.23830408,466.35595165,-0.025226990152861922,0.01,529832.561,up,up,down,0.06686443490294793,OK,INSUFFICIENT,[]
2026-07-04T20:25:56.164854+00:00,BTCUSDT,63169.37092954,63193.40021739,-0.038024995913088236,0.009456,106327.77,down,down,down,-0.15531880592407377,OK,INSUFFICIENT,[]
2026-07-04T20:25:57.551939+00:00,ETHUSDT,1784.46,1785.08046512,-0.03475838384452616,0.00942,2322060.995,down,down,down,-0.9058569029299282,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:25:58.786243+00:00,BNBUSDT,573.73,573.38438619,0.06027611116105751,0.006914000000000001,569469.67,down,down,down,-0.3188964839783058,OK,INSUFFICIENT,[]
2026-07-04T20:26:00.311412+00:00,SOLUSDT,81.60259844,81.64220803,-0.04851606902333795,0.002897,10226377.17,up,flat,down,0.33139082710209405,OK,INSUFFICIENT,[]
2026-07-04T20:26:01.441210+00:00,XRPUSDT,1.1607,1.16106628,-0.03154686397403093,-0.004214,333974430.0,down,down,down,0.12630818229245458,OK,INSUFFICIENT,[]
2026-07-04T20:26:03.243899+00:00,DOGEUSDT,0.07809,0.0781222,-0.041217477234379116,0.01,2403423679.0,flat,down,down,-0.025521383007531047,OK,INSUFFICIENT,"[""REST/WS book imbalance drift high""]"
2026-07-04T20:26:05.378282+00:00,ADAUSDT,0.19161376,0.1916194,-0.002943334547546438,0.01,499216670.0,flat,up,down,0.10053035651665963,OK,INSUFFICIENT,[]
2026-07-04T20:26:06.450885+00:00,TRXUSDT,0.32591,0.32604,-0.03987240829346675,0.01,274349751.0,flat,flat,down,-0.010802561330950703,OK,INSUFFICIENT,[]
2026-07-04T20:26:08.372487+00:00,LINKUSDT,8.03678299,8.04154653,-0.059236615522002226,0.01,8539276.94,flat,down,down,0.0015920003511090814,OK,INSUFFICIENT,[]
