signal_id,symbol,action,direction,entry_time,entry_price,entry_delta_5m,entry_imbalance,entry_aggression,entry_latest_event,entry_cvd,price_after_1m,price_after_5m,price_after_15m,max_favorable_pct,max_adverse_pct,final_return_pct,completed_time
1b998925-b7af-4749-a4a8-608a0dbb4b28,BNBUSDT,LONG_BIAS,LONG,2026-07-02T10:58:04.394350+00:00,556.58,100377.1496,0.37714079823520086,0.8113523185921635,TRADE_BURST,100377.1496,556.35,556.22,557.62,0.0025333285421681845,0.0010959790146969233,0.0018685543857126802,2026-07-02T11:13:04.489751+00:00
a7962d8c-ea0a-432a-a5d2-cd72cf136e70,ETHUSDT,LONG (SWEEP),LONG,2026-07-02T10:58:34.671124+00:00,1645.42,332884.7105599935,-0.1541031159621986,0.5200472512583586,SWEEP_CONFLUENCE,332884.7105599999,1645.03,1645.12,1651.33,0.00543326323978062,0.0007171421278458167,0.0035917881148885113,2026-07-02T11:13:35.161351+00:00
64b695d3-75a0-40c2-94eb-ac31dc100b22,BCHUSDT,SHORT_BIAS,SHORT,2026-07-02T11:02:58.938956+00:00,218.07,-100887.26327,-0.2672259229732842,0.3488065056347519,SELL_AGGRESSION,-23458.63543000002,218.12,217.77,217.91,0.002338698583023758,0.002430412252946307,0.00073370935938,2026-07-02T11:17:59.754726+00:00
5234d7b7-686d-49ef-a1a3-5f43cb641f8b,DOGEUSDT,SHORT_BIAS,SHORT,2026-07-02T11:03:41.843722+00:00,0.07379,-391362.8004499994,-0.1672909898889358,0.36030597588294905,SELL_AGGRESSION,-375175.3931799997,0.07381,0.07388,0.074,0.00040655915435680134,0.006098387315354465,-0.002845914080498738,2026-07-02T11:18:42.114679+00:00
79133f84-440e-40b4-a662-0924e2030d6c,LINKUSDT,SHORT_BIAS,SHORT,2026-07-02T11:04:53.597540+00:00,7.625,-197954.0688600002,-0.16331013631242122,0.30565026664888406,SELL_AGGRESSION,-121076.69171000007,7.628,7.63,7.645,0.0005245901639343685,0.004983606557377083,-0.002622950819672075,2026-07-02T11:19:54.050609+00:00
d8283e45-9e80-429d-90cc-5df4fd89d6fb,WLDUSDT,LONG_BIAS,LONG,2026-07-02T11:05:16.993436+00:00,0.3781,215878.5248000003,0.21185333190718053,0.6956137258088274,BUY_AGGRESSION,48453.24430000017,0.3791,0.3796,0.3811,0.012695054218460795,0.0,0.00793440888653796,2026-07-02T11:20:17.908333+00:00
755d4c54-fd64-44db-8f6e-39184e918b0e,NEARUSDT,LONG_BIAS,LONG,2026-07-02T11:09:59.331895+00:00,1.945,100525.51699999993,0.15658875028428726,0.5935628122223383,BUY_AGGRESSION,99821.14700000026,1.946,1.948,1.947,0.0030848329048843216,0.002570694087403658,0.0010282776349614404,2026-07-02T11:24:59.483650+00:00
dec08795-3b7c-42da-813e-642282bf891b,TRXUSDT,LONG_BIAS,LONG,2026-07-02T11:12:24.804937+00:00,0.31705,136121.2127299999,0.8441710056693402,0.8479641282331822,BUY_AGGRESSION,135836.15536,0.31693,0.3169,0.31695,3.154076644065605e-05,0.0009146822267781501,-0.00031540766440621036,2026-07-02T11:27:25.270823+00:00
6801dc8b-32c8-4564-b60a-8b4c5d8e66a0,ZECUSDT,SHORT_BIAS,SHORT,2026-07-02T11:35:21.580919+00:00,445.95,-164741.39306999993,-0.7307138815054255,0.08174099401748135,SELL_AGGRESSION,-164741.39306999996,446.67,446.21,449.92,0.003430877901109929,0.024778562619127732,-0.008902343312030558,2026-07-02T11:50:21.930665+00:00
648a4886-5b2c-4bdd-8413-a5f196500ef1,SUIUSDT,LONG_BIAS,LONG,2026-07-02T11:36:10.117187+00:00,0.7444,117791.01788000006,0.2197341823770237,0.7530988508964448,BUY_AGGRESSION,117791.01787999998,0.7438,0.7424,0.7413,0.0006716818914562816,0.004836109618484601,-0.004164427727028469,2026-07-02T11:51:10.355528+00:00
